"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2008","Manny Ramirez","- - -","153","654","37","102","121","3","13.3 %","19.0 %",".270",".370",".332",".430",".601",".432","165","-1.2","51.9","-14.4","5.9","210"
"2000","Jeff Bagwell","Astros","159","719","47","152","132","9","14.9 %","16.1 %",".305",".313",".310",".424",".615",".435","153","-0.9","51.4","-11.8","5.9","547"
"2006","Ryan Howard","Phillies","159","704","58","104","149","0","15.3 %","25.7 %",".346",".356",".313",".425",".659",".436","162","-1.8","55.3","-17.5","5.9","2154"
"2005","Mark Teixeira","Rangers","162","730","43","112","144","4","9.9 %","17.0 %",".273",".315",".301",".379",".575",".404","147","2.3","44.1","-9.8","5.9","1281"
"2007","Carlos Pena","Devil Rays","148","612","46","99","121","1","16.8 %","23.2 %",".345",".297",".282",".411",".627",".431","167","1.1","52.2","-12.8","5.9","934"
"2008","Matt Holliday","Rockies","139","623","25","107","88","28","11.9 %","16.7 %",".217",".359",".321",".409",".538",".409","141","10.4","42.4","-3.3","5.9","1873"
"2005","Brian Giles","Padres","158","674","15","92","83","13","17.7 %","9.5 %",".182",".314",".301",".423",".483",".392","147","3.3","43.1","-6.3","5.9","990"
"2000","Frank Thomas","White Sox","159","707","43","115","143","1","15.8 %","13.3 %",".297",".327",".328",".436",".625",".441","160","-1.1","56.3","-17.9","5.9","255"
"2004","Moises Alou","Cubs","155","675","39","106","106","3","10.1 %","11.9 %",".265",".281",".293",".361",".557",".387","133","-2.1","26.4","11.4","5.9","261"
"2002","Chipper Jones","Braves","158","662","26","90","100","8","16.2 %","13.4 %",".210",".349",".327",".435",".536",".412","153","0.5","44.6","-7.3","5.9","97"
"2008","Jose Reyes","Mets","159","763","16","113","68","56","8.7 %","10.7 %",".179",".317",".297",".358",".475",".359","118","7.7","25.4","8.9","5.9","1736"
"2009","Carl Crawford","Rays","156","672","15","96","68","60","7.6 %","14.7 %",".147",".342",".305",".364",".452",".358","120","8.3","24.8","10.9","5.9","1201"
"2009","Kevin Youkilis","Red Sox","136","588","27","99","94","7","13.1 %","21.3 %",".242",".359",".305",".413",".548",".413","147","1.9","36.6","1.9","5.9","1935"
"2004","Vladimir Guerrero","Angels","156","680","39","124","126","15","7.6 %","10.9 %",".261",".329",".337",".391",".598",".411","154","-0.2","47.0","-10.0","5.9","778"
"2004","Mark Loretta","Padres","154","707","16","108","76","5","8.2 %","6.4 %",".160",".334",".335",".391",".495",".380","137","0.9","34.6","1.6","5.8","1383"
"2004","Aaron Rowand","White Sox","140","534","24","94","69","17","5.6 %","17.0 %",".234",".340",".310",".361",".544",".385","131","6.9","28.3","13.5","5.8","254"
"2003","Manny Ramirez","Red Sox","154","679","37","117","104","3","14.3 %","13.8 %",".262",".334",".325",".427",".587",".421","158","0.0","49.7","-13.7","5.8","210"
